City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Camacha,PT,33.08,-16.33,71.6,73,75,12.75
Mataura,NZ,-46.19,168.86,39.0,83,68,3.0
Hobart,AU,-42.88,147.33,42.8,87,81,9.17
São José da Coroa Grande,BR,-8.9,-35.15,79.84,73,18,11.34
Barrow,US,71.29,-156.79,39.2,80,90,8.7
Levelland,US,33.59,-102.38,93.99,14,20,10.29
Ambon City,ID,-3.7,128.18,79.0,14,69,8.57
Morondava,MG,-20.28,44.28,75.04,55,0,15.82
Rikitea,PF,-23.12,-134.97,69.04,58,6,18.12
Ogden,US,41.22,-111.97,57.99,67,95,11.41
Alta Floresta,BR,-9.88,-56.09,95.0,34,40,4.7
Port Alfred,ZA,-33.59,26.89,57.99,88,12,4.0
Ongandjera,NA,-17.88,15.07,63.28,23,0,6.58
Arrondissement de Bastia,FR,42.67,9.33,82.4,58,5,5.82
New Norfolk,AU,-42.78,147.06,41.0,84,91,2.55
Mabay,PH,6.06,124.47,78.67,80,37,3.87
Ugoofaaru,MV,5.67,73.0,82.9,79,47,7.7
Ponta do Sol,PT,32.67,-17.1,71.01,77,75,8.05
Kapaa,US,22.08,-159.32,78.8,78,90,8.05
Horasan,TR,40.05,42.17,56.35,80,95,2.26
Esperance,AU,-33.87,121.9,53.6,71,90,25.28
Taltal,CL,-25.4,-70.48,68.76,41,1,3.27
Dunedin,NZ,-45.87,170.5,41.0,87,100,15.79
Victor Harbor,AU,-35.57,138.62,53.01,62,8,4.0
Eldorado,BR,-23.79,-54.28,74.7,79,66,15.5
Punta Arenas,CL,-53.15,-70.92,32.0,93,75,5.82
Daru,PG,-9.08,143.21,76.21,84,92,14.92
Atuona,PF,-9.8,-139.03,80.4,73,1,18.79
Lázaro Cárdenas,MX,17.96,-102.2,87.55,58,28,7.56
Montepuez,MZ,-13.13,39.0,65.93,84,74,6.67
Kasempa,ZM,-13.46,25.83,66.92,41,81,4.79
Kjøllefjord,NO,70.95,27.35,42.8,81,75,18.34
Vardø,NO,70.37,31.11,42.8,93,90,17.22
Puerto Ayora,EC,-0.74,-90.35,77.0,69,75,17.22
Jieshi,CN,22.81,115.83,82.45,87,100,3.69
Bluff,NZ,-46.6,168.33,39.0,83,78,3.0
Talcahuano,CL,-36.72,-73.12,55.4,93,90,17.22
Katherine,AU,-14.47,132.27,62.6,55,88,4.7
Iqaluit,CA,63.75,-68.51,42.8,75,75,6.93
Mar del Plata,AR,-38.0,-57.56,52.0,87,90,20.8
Curup,ID,-3.47,102.53,69.13,88,15,4.54
Tuktoyaktuk,CA,69.45,-133.04,53.6,76,90,4.7
Hilo,US,19.73,-155.09,77.0,69,90,3.36
Homer,US,59.64,-151.55,53.6,76,1,6.93
Marawi,PH,8.0,124.29,75.0,92,32,5.99
San Patricio,MX,19.22,-104.7,91.4,63,20,5.82
Vallenar,CL,-28.57,-70.76,72.81,19,65,5.99
Bambous Virieux,MU,-20.34,57.76,68.0,82,20,2.24
Tiarei,PF,-17.53,-149.33,73.0,78,20,4.7
Nikolskoye,RU,59.7,30.79,62.6,59,20,15.66
Clyde River,CA,70.47,-68.59,35.6,93,75,13.87
Ouésso,CG,1.61,16.05,71.64,91,57,2.06
Anju,KP,39.62,125.66,63.72,95,100,3.33
San Francisco del Mar Viejo,MX,16.23,-94.65,82.96,75,100,9.28
Codrington,AU,-38.27,141.97,44.19,73,0,12.3
Praxédis Guerrero,MX,31.37,-106.02,88.0,27,5,17.22
Nanortalik,GL,60.14,-45.24,40.91,88,99,6.17
Busselton,AU,-33.65,115.33,52.0,67,58,13.15
Balkhash,KZ,46.84,74.98,73.94,36,84,5.55
Cape Town,ZA,-33.93,18.42,57.99,87,20,3.36
Kavaratti,IN,10.57,72.64,83.57,77,100,13.96
Vrangel',RU,42.73,133.08,56.7,90,100,3.6
Ushuaia,AR,-54.8,-68.3,30.2,80,40,4.7
Sinnamary,GF,5.38,-52.95,84.16,70,7,11.88
Am Timan,TD,11.03,20.28,84.61,60,46,4.18
Lebu,CL,-37.62,-73.65,53.19,85,99,18.3
Saint George,US,37.1,-113.58,81.0,13,1,6.35
Hithadhoo,MV,-0.6,73.08,84.65,65,0,4.27
Cherskiy,RU,68.75,161.3,43.68,71,36,8.05
Belyy Yar,RU,53.6,91.39,59.0,87,99,4.47
Arraial do Cabo,BR,-22.97,-42.03,77.0,61,90,26.4
Tautira,PF,-17.73,-149.15,73.0,78,20,4.7
Dikson,RU,73.51,80.55,44.06,85,95,3.51
